gyset	gylfi
der	dér
har	er
siddet	sidde
sammenkrøbet	sammenkrøbene
i	inden
nakke	nakkeregionen
regionen	
udløses	udløses

det	der
er	er
et	enormt
enormt	enorm
befolkningstal	befolkningstal
sammenlignet	sammenlignede
med	men
ju	jukagirerne
kagerne	
der	det
kun	kunne
udgør	udgører
omkring	omkring
tusinde	tusind

de	det
seks	seksballetter
balletter	balletter
er	har
ikke	alle
alle	al
avangard	avangardstykker
stykker	
men	mens
de	det
er	alle
alle	alleskabt
skabt	
på	fra
baggrund	baggrunden
af	er
helt	hel
ny	nykomponeret
komponeret	
musik	

stakkels	stakels
dave	davedarling
darling	darling

det	dét
får	for
han	hr
også	osse

lyder	lyder
en	hvisken
hvisken	hvisken
fra	forreste
forreste	forrestet
bænk	
hvor	hvoraf
gæs	gæsgiverens
giverens	
datter	
sidder	sidder
med	men
øjnene	øjnenes
fulde	fulde
af	tårer
tårer	tåre

far	faren
var	er
lige	ligbleg
bleg	

jeg	det
ved	vil
ikke	om
om	jeg
jeg	at jeg
har	er
tænkt	tænkte
så	såmæget
meget	
over	ovre
hvordan	vi
vi	i
skal	ska
forstå	forståe
hvem	hvemvi
vi	i
selv	er
er	
hvis	vi
sandheden	sandhedene
skal	ska
frem	fremsiger
siger	
holger	holgerbech
bech	bech
nielsen	
men	med
det	dét
har	er
han	
tydeligvis	tydeligvist
der	dér
må	måtte
man	han
vel	velsige
sige	
at	vi
vi	
har	havde
at	
gøre	
med	medemergent
emergent	emergentfænomener
fænomener	

åh	årh
ruth	ruth
hvisker	viskede
hun	hund
hvad	hva
hedder	hedder
ham	han
der	da
kom	komme
ind	indsidst
sidst	
ham	han
den	dens
lille	lillemed
med	men
de	det
sorte	
hår	hård

nul	nul
en	én
ni	
to	toogtres
otte	otteogtres
og	
tres	
otte	ottehundrede
hundrede	
og	
fireogtyve	fireogfyrre

et	ét
pragt	pragtskud
skud	

som	så
det	de
skete	sketes
i	los
los	losangeles
angeles	angelice
i	nittenhundrede
nitten	nittenhundrede
hundrede	
og	
halvfems	nioghalvfems
oven	ovenpå
på	
retssagen	retssagene
mod	imod
de	det
fire	
politibetjente	politibetjentes
en	inhispanic
hispanic	
og	
tre	trehvide
hvide	hvide
der	da
var	blev
blevet	bleven
